label,step,value
train loss,0,2.302602780190208
train accuracy,0,0.085
test loss,0,2.3025016901499753
test accuracy,0,0.1331
train loss,100,1.747862672562586
train accuracy,100,0.355
test loss,100,1.7593750618661248
test accuracy,100,0.3684
train loss,200,1.6193591951851536
train accuracy,200,0.425
test loss,200,1.6602844550836708
test accuracy,200,0.4132
train loss,300,1.8307079882115391
train accuracy,300,0.305
test loss,300,1.6353343985091866
test accuracy,300,0.4198
train loss,400,1.7552145319448764
train accuracy,400,0.43
test loss,400,1.5892393440125785
test accuracy,400,0.4382
train loss,500,1.5605394855274406
train accuracy,500,0.47
test loss,500,1.6552491131108291
test accuracy,500,0.4217
train loss,600,1.670150946504096
train accuracy,600,0.395
test loss,600,1.58849928673121
test accuracy,600,0.435
train loss,700,1.5094150740585182
train accuracy,700,0.42
test loss,700,1.7675808160841702
test accuracy,700,0.3965
train loss,800,1.4542127351334966
train accuracy,800,0.495
test loss,800,1.6414322760076772
test accuracy,800,0.4266
train loss,900,1.545364934495656
train accuracy,900,0.425
test loss,900,1.5110944331656222
test accuracy,900,0.4602
train loss,1000,1.3721431239398925
train accuracy,1000,0.495
test loss,1000,1.5253318656046555
test accuracy,1000,0.465
train loss,1100,1.5634193574975859
train accuracy,1100,0.45
test loss,1100,1.5062714208097678
test accuracy,1100,0.472
train loss,1200,1.6930927702704892
train accuracy,1200,0.425
test loss,1200,1.7071845252723152
test accuracy,1200,0.4239
train loss,1300,1.3859109133530871
train accuracy,1300,0.51
test loss,1300,1.541661854914279
test accuracy,1300,0.4618
train loss,1400,1.501298778943476
train accuracy,1400,0.47
test loss,1400,1.5290771161912142
test accuracy,1400,0.4645
